location,year,quarter,avg_price
banaswadi,2030,Apr-Jun,12694.09873861302
banaswadi,2030,Jul-Sep,12923.995641222109
banaswadi,2030,Oct-Dec,13158.056099426405
bangalore university road,2025,Jan-Mar,8524.873405207398
bangalore university road,2025,Apr-Jun,8617.594442742318
bangalore university road,2025,Jul-Sep,8711.323963382254
bangalore university road,2025,Oct-Dec,8806.072935923503
bangalore university road,2026,Jan-Mar,8901.852448464797
bangalore university road,2026,Apr-Jun,8998.673709704904
bangalore university road,2026,Jul-Sep,9096.548050254334
bangalore university road,2026,Oct-Dec,9195.486923961318
bangalore university road,2027,Jan-Mar,9295.501909252203
bangalore university road,2027,Apr-Jun,9396.604710486437
bangalore university road,2027,Jul-Sep,9498.807159326278
bangalore university road,2027,Oct-Dec,9602.121216121404
bangalore university road,2028,Jan-Mar,9706.558971308596
bangalore university road,2028,Apr-Jun,9812.132646826622
bangalore university road,2028,Jul-Sep,9918.854597546533
bangalore university road,2028,Oct-Dec,10026.737312717498
bangalore university road,2029,Jan-Mar,10135.793417428375
bangalore university road,2029,Apr-Jun,10246.035674085171
bangalore university road,2029,Jul-Sep,10357.476983904584
bangalore university road,2029,Oct-Dec,10470.130388423771
bangalore university road,2030,Jan-Mar,10584.009071026558
bangalore university road,2030,Apr-Jun,10699.126358486232
bangalore university road,2030,Jul-Sep,10815.495722525124
bangalore university road,2030,Oct-Dec,10933.130781391154
bannerghatta main road,2025,Jan-Mar,8007.351016610277
bannerghatta main road,2025,Apr-Jun,8212.959360668541
bannerghatta main road,2025,Jul-Sep,8423.847202410707
bannerghatta main road,2025,Oct-Dec,8640.150105867126
bannerghatta main road,2026,Jan-Mar,8862.007116006567
bannerghatta main road,2026,Apr-Jun,9089.56084811784
bannerghatta main road,2026,Jul-Sep,9322.9575794865
bannerghatta main road,2026,Oct-Dec,9562.347343425577
bannerghatta main road,2027,Jan-Mar,9807.884025720788
bannerghatta main road,2027,Apr-Jun,10059.7254635522
bannerghatta main road,2027,Jul-Sep,10318.033546955958
bannerghatta main road,2027,Oct-Dec,10582.974322891283
bannerghatta main road,2028,Jan-Mar,10854.718101979657
bannerghatta main road,2028,Apr-Jun,11133.43956798479
bannerghatta main road,2028,Jul-Sep,11419.317890103752
bannerghatta main road,2028,Oct-Dec,11712.536838141461
bannerghatta main road,2029,Jan-Mar,12013.284900642553
bannerghatta main road,2029,Apr-Jun,12321.755406056576
bannerghatta main road,2029,Jul-Sep,12638.146647014406
bannerghatta main road,2029,Oct-Dec,12962.662007795749
bannerghatta main road,2030,Jan-Mar,13295.5100950697
bannerghatta main road,2030,Apr-Jun,13636.904871992374
bannerghatta main road,2030,Jul-Sep,13987.065795747829
bannerghatta main road,2030,Oct-Dec,14346.21795862068
bannerughatta,2025,Jan-Mar,8617.796561881702
bannerughatta,2025,Apr-Jun,8849.39427305399
bannerughatta,2025,Jul-Sep,9087.2160229855
bannerughatta,2025,Oct-Dec,9331.42907869403
bannerughatta,2026,Jan-Mar,9582.205202390338
bannerughatta,2026,Apr-Jun,9839.720772283557
bannerughatta,2026,Jul-Sep,10104.15690663316
bannerughatta,2026,Oct-Dec,10375.699591134746
bannerughatta,2027,Jan-Mar,10654.53980972925
bannerughatta,2027,Apr-Jun,10940.87367892754
bannerughatta,2027,Jul-Sep,11234.902585744932
bannerughatta,2027,Oct-Dec,11536.833329342575
bannerughatta,2028,Jan-Mar,11846.878266475378
bannerughatta,2028,Apr-Jun,12165.255460848754
bannerughatta,2028,Jul-Sep,12492.188836489215
