Locality,Start_Price,End_Price,Quarterly_Growth,Quarterly Growth (%),CAGR,CAGR (%)
kalyan nagar,4908.0,7603.0,0.018403816509194426,1.8404,0.0756725170520296,7.57
vajarahalli,3900.0,8193.0,0.03141259668505514,3.1413,0.13169585347492774,13.17
binny pete,8333.0,12588.0,0.017336921546544648,1.7337,0.07117203337427513,7.12
phase 2nd judicial layout,3950.0,9808.0,0.03862229300959785,3.8622,0.1636719348986111,16.37
bilekahalli,5300.0,7703.0,0.01570128332477294,1.5701,0.06429985923277926,6.43
kammasandra electronic city,4250.0,5600.0,0.011559956407481753,1.156,0.04704781818821302,4.7
varthur,5119.0,12716.0,0.03864043163708164,3.864,0.16375322706737228,16.38
phase 2 electronic city,4519.0,6911.0,0.017858574825996953,1.7859,0.07337075563623663,7.34
kanakapura road,5212.0,9328.0,0.024548854516541985,2.4549,0.10187083589838375,10.19
bhoganhalli,6161.0,15855.0,0.040171123989118485,4.0171,0.17062871491811005,17.06
varthur lake road,5100.0,13140.0,0.040222035863235917,4.0222,0.17085792057938187,17.09
phase 1 electronics city,4617.0,7387.0,0.0197753484893175,1.9775,0.08147886707567475,8.15
kannamangala,5250.0,9869.0,0.0266476330834593,2.6648,0.11092730421220875,11.09
uttarahalli main road,4747.0,7437.0,0.01888250759843313,1.8883,0.07769638224406417,7.77
bommanahalli,4718.0,6356.0,0.012494675433590618,1.2495,0.05092323011268762,5.09
kadugodi,4808.0,7987.0,0.021372438622679013,2.1372,0.08826970004268953,8.83
budigere,5100.0,9591.0,0.026665349941783267,2.6665,0.11100399128773786,11.1
btm layout,5620.0,10292.0,0.025530255507320687,2.553,0.10609877240619059,10.61
tumkur road,5271.0,10936.0,0.03087710700049562,3.0877,0.12934746379443984,12.93
phase 8th jp nagar,4498.0,6808.0,0.017419375549130534,1.7419,0.07151934470434562,7.15
kadubeesanahalli road,7900.0,12810.0,0.020344320909458924,2.0344,0.08389448466082872,8.39
brookefield,5877.0,11324.0,0.02770508901367652,2.7705,0.11551143956255117,11.55
phase 5 jp nagar,5181.0,6840.0,0.011641813001250334,1.1642,0.04738677257755808,4.74
phase 7 jp nagar,6417.0,10151.0,0.019292979231046115,1.9293,0.07943409461428086,7.94
ulsoor road,11775.0,15598.0,0.011784060565158017,1.1784,0.04797599157536192,4.8
kaggadasapura,4381.0,5735.0,0.011284475632878932,1.1284,0.045907702921678784,4.59
kaikondrahalli,3650.0,11361.0,0.04844781908553775,4.8448,0.20833479786688547,20.83
phase 6 jp nagar,6033.0,10590.0,0.02372138708691951,2.3721,0.09831548271274593,9.83
bommasandra,2950.0,5340.0,0.025034072439743094,2.5034,0.10395966710710258,10.4
kalena agrahara,6135.0,8545.0,0.013901415023956032,1.3901,0.056775939236236805,5.68
uttarahalli hobli,4747.0,7186.0,0.017426001997166596,1.7426,0.07154726018067814,7.15
bommanahalli road,4600.0,6974.0,0.017490050794910506,1.749,0.07181710897390592,7.18
kalkere,4478.0,5747.0,0.010450119274289404,1.045,0.04246028380077127,4.25
rayasandra,4184.0,7441.0,0.024279115700628573,2.4279,0.10071091081056549,10.07
church street,15236.0,19864.0,0.011113298951970663,1.1113,0.04519973375337849,4.52
peenya,5830.0,9508.0,0.02058894345740203,2.0589,0.08493429207162562,8.49
mysore road,4675.0,6864.0,0.016131276514048665,1.6131,0.06610327286081841,6.61
sanjayanagara,7686.0,9221.0,0.007615644266103061,0.7616,0.030812335423401116,3.08
haralur,5550.0,10759.0,0.027964906266518152,2.7965,0.11663993079311186,11.66
