Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Navrangpura,Jan-Mar 2020,"5,235-8,239","6,737",2%,,,
Navrangpura,Oct-Dec 2019,"5,639-8,163","6,901",4%,,,
Navrangpura,Jul-Sep 2019,"5,353-7,941","6,647",0.30%,,,
Navrangpura,Apr-Jun 2019,"5,285-8,047","6,666",1%,,,
Navrangpura,Jan-Mar 2019,"5,379-8,041","6,710",3%,,,
Navrangpura,Oct-Dec 2018,"5,089-7,960","6,525",2%,,,
Navrangpura,Jul-Sep 2018,"5,224-8,087","6,655",1%,,,
Navrangpura,Apr-Jun 2018,"5,064-8,059","6,562",2%,,,
Navrangpura,Jan-Mar 2018,"5,067-7,820","6,443",1%,,,
Navrangpura,Oct-Dec 2017,"4,937-7,823","6,380",1%,,,
Navrangpura,Jul-Sep 2017,"4,986-7,625","6,305",1%,,,
Navrangpura,Apr-Jun 2017,"4,770-7,766","6,268",2%,,,
Navrangpura,Jan-Mar 2017,"4,858-7,883","6,370",1%,,,
Navrangpura,Oct-Dec 2016,"5,098-7,491","6,295",1%,,,
Navrangpura,Jul-Sep 2016,"5,104-7,551","6,327",2%,,,
Navrangpura,Apr-Jun 2016,"5,216-7,678","6,447",6%,,,
Navrangpura,Jan-Mar 2016,"4,957-7,167","6,062",1%,,,
Navrangpura,Oct-Dec 2015,"4,871-7,092","5,982",3%,,,
Navrangpura,Jul-Sep 2015,"4,443-7,136","5,790",3%,,,
Navrangpura,Apr-Jun 2015,"4,688-7,286","5,987",3%,,,
Navrangpura,Jan-Mar 2015,"4,618-6,965","5,792",7%,,,
Navrangpura,Oct-Dec 2014,"4,243-6,584","5,413",4%,,,
,,,,,,,
Nehru Nagar Ambawadi,Oct-Dec 2024,"7,548 - 10,238","8,893",0.30%,,,
Nehru Nagar Ambawadi,Jul-Sep 2024,"7,443 - 10,283","8,863",1%,,,
Nehru Nagar Ambawadi,Apr-Jun 2024,"7,283 - 10,284","8,784",2%,,,
Nehru Nagar Ambawadi,Jan-Mar 2024,"7,176 - 10,676","8,926",1%,,,
Nehru Nagar Ambawadi,Oct-Dec 2023,"7,425 - 10,243","8,834",3%,,,
Nehru Nagar Ambawadi,Jul-Sep 2023,"7,263 - 9,826","8,544",4%,,,
Nehru Nagar Ambawadi,Apr-Jun 2023,"7,159 - 9,269","8,214",1%,,,
Nehru Nagar Ambawadi,Jan-Mar 2023,"7,145 - 9,094","8,119",2%,,,
Nehru Nagar Ambawadi,Oct-Dec 2022,"6,968 - 8,969","7,969",8%,,,
Nehru Nagar Ambawadi,Jul-Sep 2022,"6,264 - 8,539","7,402",1%,,,
Nehru Nagar Ambawadi,Apr-Jun 2022,"6,320 - 8,350","7,335",0.40%,,,
Nehru Nagar Ambawadi,Jan-Mar 2022,"6,437 - 8,298","7,368",8%,,,
Nehru Nagar Ambawadi,Oct-Dec 2021,"6,181 - 7,460","6,821",2%,,,
Nehru Nagar Ambawadi,Jul-Sep 2021,"6,025 - 7,352","6,689",2%,,,
Nehru Nagar Ambawadi,Apr-Jun 2021,"6,163 - 6,915","6,539",0.20%,,,
Nehru Nagar Ambawadi,Jan-Mar 2021,"6,072 - 7,001","6,537",0.20%,,,
Nehru Nagar Ambawadi,Oct-Dec 2020,"6,043 - 6,999","6,521",1%,,,
Nehru Nagar Ambawadi,Jul-Sep 2020,"6,035 - 7,136","6,586",1.00%,,,
Nehru Nagar Ambawadi,Apr-Jun 2020,"5,900 - 7,000","6,520",1.00%,,,
Nehru Nagar Ambawadi,Jan-Mar 2020,"5,703 - 7,517","6,610",4%,,,
Nehru Nagar Ambawadi,Oct-Dec 2019,"5,317 - 7,339","6,328",4%,,,
Nehru Nagar Ambawadi,Jul-Sep 2019,"5,045 - 7,085","6,065",2%,,,
Nehru Nagar Ambawadi,Apr-Jun 2019,"4,820 - 7,094","5,957",3%,,,
Nehru Nagar Ambawadi,Jan-Mar 2019,"5,095 - 7,166","6,130",29%,,,
Nehru Nagar Ambawadi,Oct-Dec 2018,"5,980 - 11,215","8,598",39%,,,
Nehru Nagar Ambawadi,Jul-Sep 2018,"5,242 - 7,148","6,195",2.00%,,,
Nehru Nagar Ambawadi,Apr-Jun 2018,"5,100 - 7,050","6,076",2.00%,,,
Nehru Nagar Ambawadi,Jan-Mar 2018,"4,980 - 6,900","5,960",2.00%,,,
Nehru Nagar Ambawadi,Oct-Dec 2017,"4,850 - 6,750","5,850",2.00%,,,
Nehru Nagar Ambawadi,Jul-Sep 2017,"4,700 - 6,600","5,740",2.00%,,,
Nehru Nagar Ambawadi,Apr-Jun 2017,"4,550 - 6,450","5,630",2.00%,,,
Nehru Nagar Ambawadi,Jan-Mar 2017,"4,400 - 6,300","5,520",2.00%,,,
Nehru Nagar Ambawadi,Oct-Dec 2016,"4,250 - 6,150","5,410",2.00%,,,
Nehru Nagar Ambawadi,Jul-Sep 2016,"4,100 - 6,000","5,300",2.00%,,,
Nehru Nagar Ambawadi,Apr-Jun 2016,"3,950 - 5,850","5,190",2.00%,,,
Nehru Nagar Ambawadi,Jan-Mar 2016,"3,800 - 5,700","5,080",2.00%,,,
Nehru Nagar Ambawadi,Oct-Dec 2015,"3,650 - 5,550","4,970",2.00%,,,
Nehru Nagar Ambawadi,Jul-Sep 2015,"3,500 - 5,400","4,860",2.00%,,,
Nehru Nagar Ambawadi,Apr-Jun 2015,"3,350 - 5,250","4,750",2.00%,,,
Nehru Nagar Ambawadi,Jan-Mar 2015,"3,200 - 5,100","4,640",2.00%,,,
Nehru Nagar Ambawadi,Oct-Dec 2014,"3,050 - 4,950","4,530",2.00%,,,
,,,,,,,
NR Vandematram Cross Road,Oct-Dec 2024,"5,565 - 7,888","6,726",3.00%,,,
NR Vandematram Cross Road,Jul-Sep 2024,"5,400 - 7,650","6,530",3.00%,,,
NR Vandematram Cross Road,Apr-Jun 2024,"5,250 - 7,450","6,340",3.00%,,,
NR Vandematram Cross Road,Jan-Mar 2024,"5,100 - 7,250","6,160",3.00%,,,
NR Vandematram Cross Road,Oct-Dec 2023,"4,950 - 7,050","5,980",4.00%,,,
NR Vandematram Cross Road,Jul-Sep 2023,"4,760 - 6,810","5,750",4.00%,,,
NR Vandematram Cross Road,Apr-Jun 2023,"4,570 - 6,580","5,530",4.00%,,,
NR Vandematram Cross Road,Jan-Mar 2023,"4,400 - 6,350","5,320",4.00%,,,
NR Vandematram Cross Road,Oct-Dec 2022,"4,230 - 6,150","5,120",6.00%,,,
NR Vandematram Cross Road,Jul-Sep 2022,"4,000 - 5,800","4,830",6.00%,,,
NR Vandematram Cross Road,Apr-Jun 2022,"3,780 - 5,500","4,550",6.00%,,,
NR Vandematram Cross Road,Jan-Mar 2022,"3,600 - 5,250","4,290",6.00%,,,
NR Vandematram Cross Road,Oct-Dec 2021,"3,430 - 5,020","4,050",6.00%,,,
NR Vandematram Cross Road,Jul-Sep 2021,"3,200 - 4,750","3,820",6.00%,,,
NR Vandematram Cross Road,Apr-Jun 2021,"3,020 - 4,550","3,600",6.00%,,,
NR Vandematram Cross Road,Jan-Mar 2021,"2,850 - 4,350","3,400",6.00%,,,
NR Vandematram Cross Road,Oct-Dec 2020,"2,700 - 4,180","3,210",5.00%,,,
NR Vandematram Cross Road,Jul-Sep 2020,"2,560 - 4,020","3,060",5.00%,,,
NR Vandematram Cross Road,Apr-Jun 2020,"2,430 - 3,860","2,920",5.00%,,,
NR Vandematram Cross Road,Jan-Mar 2020,"2,310 - 3,720","2,790",5.00%,,,
NR Vandematram Cross Road,Oct-Dec 2019,"2,200 - 3,580","2,660",6.00%,,,
NR Vandematram Cross Road,Jul-Sep 2019,"2,000 - 3,300","2,500",6.00%,,,
NR Vandematram Cross Road,Apr-Jun 2019,"1,850 - 3,080","2,320",6.00%,,,
NR Vandematram Cross Road,Jan-Mar 2019,"1,750 - 2,900","2,190",6.00%,,,
NR Vandematram Cross Road,Oct-Dec 2018,"1,650 - 2,750","2,060",7.00%,,,
NR Vandematram Cross Road,Jul-Sep 2018,"1,500 - 2,550","1,920",7.00%,,,
NR Vandematram Cross Road,Apr-Jun 2018,"1,400 - 2,350","1,795",7.00%,,,
NR Vandematram Cross Road,Jan-Mar 2018,"1,300 - 2,150","1,675",7.00%,,,
NR Vandematram Cross Road,Oct-Dec 2017,"1,200 - 2,000","1,565",7.00%,,,
NR Vandematram Cross Road,Jul-Sep 2017,"1,050 - 1,850","1,455",7.00%,,,
NR Vandematram Cross Road,Apr-Jun 2017,"930 - 1,650","1,360",7.00%,,,
NR Vandematram Cross Road,Jan-Mar 2017,"800 - 1,500","1,270",7.00%,,,
NR Vandematram Cross Road,Oct-Dec 2016,"700 - 1,350","1,180",7.00%,,,
NR Vandematram Cross Road,Jul-Sep 2016,"600 - 1,200","1,100",7.00%,,,
NR Vandematram Cross Road,Apr-Jun 2016,"500 - 1,050","1,030",7.00%,,,
NR Vandematram Cross Road,Jan-Mar 2016,400 - 900,960,7.00%,,,
NR Vandematram Cross Road,Oct-Dec 2015,350 - 800,900,6.00%,,,
NR Vandematram Cross Road,Jul-Sep 2015,300 - 700,850,6.00%,,,
NR Vandematram Cross Road,Apr-Jun 2015,250 - 600,800,6.00%,,,
NR Vandematram Cross Road,Jan-Mar 2015,200 - 500,750,6.00%,,,
NR Vandematram Cross Road,Oct-Dec 2014,150 - 400,710,6.00%,,,
,,,,,,,
Nyay Marg,Oct-Dec 2024,"7,272 - 10,798","9,035",7%,,,
Nyay Marg,Jul-Sep 2024,"6,827 - 10,074","8,450",3.00%,,,
Nyay Marg,Apr-Jun 2024,"6,650 - 9,800","8,200",3.00%,,,
Nyay Marg,Jan-Mar 2024,"6,450 - 9,500","7,960",3.00%,,,
Nyay Marg,Oct-Dec 2023,"6,250 - 9,200","7,730",5.00%,,,
Nyay Marg,Jul-Sep 2023,"6,000 - 8,850","7,370",5.00%,,,
Nyay Marg,Apr-Jun 2023,"5,750 - 8,500","7,020",5.00%,,,
Nyay Marg,Jan-Mar 2023,"5,500 - 8,150","6,690",5.00%,,,
Nyay Marg,Oct-Dec 2022,"5,250 - 7,800","6,370",6.00%,,,
Nyay Marg,Jul-Sep 2022,"5,000 - 7,450","6,010",6.00%,,,
Nyay Marg,Apr-Jun 2022,"4,750 - 7,150","5,670",6.00%,,,
Nyay Marg,Jan-Mar 2022,"4,500 - 6,850","5,350",6.00%,,,
Nyay Marg,Oct-Dec 2021,"4,250 - 6,500","5,050",6.00%,,,
Nyay Marg,Jul-Sep 2021,"4,000 - 6,150","4,760",6.00%,,,
Nyay Marg,Apr-Jun 2021,"3,750 - 5,800","4,490",6.00%,,,
Nyay Marg,Jan-Mar 2021,"3,500 - 5,500","4,240",6.00%,,,
Nyay Marg,Oct-Dec 2020,"3,250 - 5,150","4,000",5.00%,,,
Nyay Marg,Jul-Sep 2020,"3,100 - 4,900","3,810",5.00%,,,
Nyay Marg,Apr-Jun 2020,"2,950 - 4,700","3,630",5.00%,,,
Nyay Marg,Jan-Mar 2020,"2,800 - 4,500","3,460",5.00%,,,
Nyay Marg,Oct-Dec 2019,"2,650 - 4,300","3,300",6.00%,,,
Nyay Marg,Jul-Sep 2019,"2,450 - 4,000","3,110",6.00%,,,
Nyay Marg,Apr-Jun 2019,"2,300 - 3,800","2,930",6.00%,,,
Nyay Marg,Jan-Mar 2019,"2,150 - 3,600","2,760",6.00%,,,
Nyay Marg,Oct-Dec 2018,"2,000 - 3,400","2,600",7.00%,,,
Nyay Marg,Jul-Sep 2018,"1,850 - 3,200","2,430",7.00%,,,
Nyay Marg,Apr-Jun 2018,"1,700 - 3,000","2,270",7.00%,,,
Nyay Marg,Jan-Mar 2018,"1,550 - 2,800","2,120",7.00%,,,
Nyay Marg,Oct-Dec 2017,"1,400 - 2,600","1,980",7.00%,,,
Nyay Marg,Jul-Sep 2017,"1,250 - 2,400","1,850",7.00%,,,
Nyay Marg,Apr-Jun 2017,"1,150 - 2,200","1,730",7.00%,,,
Nyay Marg,Jan-Mar 2017,"1,050 - 2,000","1,620",7.00%,,,
Nyay Marg,Oct-Dec 2016,"950 - 1,850","1,515",7.00%,,,
Nyay Marg,Jul-Sep 2016,"850 - 1,700","1,420",7.00%,,,
Nyay Marg,Apr-Jun 2016,"750 - 1,550","1,330",7.00%,,,
Nyay Marg,Jan-Mar 2016,"650 - 1,400","1,250",7.00%,,,
Nyay Marg,Oct-Dec 2015,"550 - 1,250","1,170",6.00%,,,
Nyay Marg,Jul-Sep 2015,"500 - 1,150","1,105",6.00%,,,
Nyay Marg,Apr-Jun 2015,"450 - 1,050","1,040",6.00%,,,
Nyay Marg,Jan-Mar 2015,400 - 950,980,6.00%,,,
Nyay Marg,Oct-Dec 2014,350 - 850,925,6.00%,,,
,,,,,,,
Prahlad Nagar,Oct-Dec 2024,"5,857-8,982","7,420",,,,
Prahlad Nagar,Jul-Sep 2024,"5,862-8,981","7,421",2%,,,
Prahlad Nagar,Apr-Jun 2024,"5,677-8,874","7,276",0.20%,,,
Prahlad Nagar,Jan-Mar 2024,"5,675-8,848","7,262",1%,,,
Prahlad Nagar,Oct-Dec 2023,"5,611-8,805","7,208",1%,,,
Prahlad Nagar,Jul-Sep 2023,"5,676-8,890","7,283",5%,,,
Prahlad Nagar,Apr-Jun 2023,"5,260-8,597","6,929",4%,,,
Prahlad Nagar,Jan-Mar 2023,"5,503-8,872","7,188",3%,,,
Prahlad Nagar,Oct-Dec 2022,"5,369-8,628","6,999",0.20%,,,
Prahlad Nagar,Jul-Sep 2022,"5,386-8,646","7,016",1%,,,
Prahlad Nagar,Apr-Jun 2022,"5,347-8,532","6,940",2%,,,
Prahlad Nagar,Jan-Mar 2022,"5,434-8,677","7,056",1%,,,
Prahlad Nagar,Oct-Dec 2021,"5,634-8,666","7,150",1%,,,
Prahlad Nagar,Jul-Sep 2021,"5,666-8,550","7,108",1%,,,
Prahlad Nagar,Apr-Jun 2021,"5,675-8,625","7,150",0.20%,,,
Prahlad Nagar,Jan-Mar 2021,"5,721-8,608","7,165",6%,,,
Prahlad Nagar,Oct-Dec 2020,"5,153-8,426","6,789",,,,
Prahlad Nagar,Jul-Sep 2020,"5,249-8,319","6,784",1%,,,
Prahlad Nagar,Apr-Jun 2020,"5,304-8,367","6,836",0.30%,,,
Prahlad Nagar,Jan-Mar 2020,"5,253-8,382","6,817",1%,,,
Prahlad Nagar,Oct-Dec 2019,"5,377-8,413","6,895",1%,,,
Prahlad Nagar,Jul-Sep 2019,"5,193-8,401","6,797",1%,,,
Prahlad Nagar,Apr-Jun 2019,"5,075-8,320","6,697",1%,,,
Prahlad Nagar,Jan-Mar 2019,"4,933-8,367","6,650",3%,,,
Prahlad Nagar,Oct-Dec 2018,"5,045-7,918","6,482",3%,,,
Prahlad Nagar,Jul-Sep 2018,"4,968-7,646","6,307",1%,,,
Prahlad Nagar,Apr-Jun 2018,"5,022-7,513","6,268",3%,,,
Prahlad Nagar,Jan-Mar 2018,"4,920-7,252","6,086",1%,,,
Prahlad Nagar,Oct-Dec 2017,"4,932-7,082","6,007",1%,,,
Prahlad Nagar,Jul-Sep 2017,"4,911-7,201","6,056",2%,,,
Prahlad Nagar,Apr-Jun 2017,"4,860-7,051","5,956",0.10%,,,
Prahlad Nagar,Jan-Mar 2017,"4,837-7,061","5,949",1%,,,
Prahlad Nagar,Oct-Dec 2016,"4,771-6,971","5,871",1%,,,
Prahlad Nagar,Jul-Sep 2016,"4,699-6,953","5,826",0.20%,,,
Prahlad Nagar,Apr-Jun 2016,"4,731-6,942","5,836",1%,,,
Prahlad Nagar,Jan-Mar 2016,"4,769-6,967","5,868",0.20%,,,
Prahlad Nagar,Oct-Dec 2015,"4,754-6,959","5,856",2%,,,
Prahlad Nagar,Jul-Sep 2015,"4,842-7,068","5,955",1%,,,
Prahlad Nagar,Apr-Jun 2015,"4,926-7,156","6,041",1%,,,
Prahlad Nagar,Jan-Mar 2015,"5,068-7,184","6,126",1%,,,
Prahlad Nagar,Oct-Dec 2014,"4,966-7,162","6,064",5%,,,
,,,,,,,
Prernatirth Derasar Road,Oct-Dec 2024,"5,867 - 8,899","7,383",0.91%,,,
Prernatirth Derasar Road,Jul-Sep 2024,"5,912 - 8,918","7,415",2%,,,
Prernatirth Derasar Road,Apr-Jun 2024,"5,751 - 8,858","7,304",0.30%,,,
Prernatirth Derasar Road,Jan-Mar 2024,"5,722 - 8,841","7,282",1%,,,
Prernatirth Derasar Road,Oct-Dec 2023,"5,532 - 8,829","7,180",1.87%,,,
Prernatirth Derasar Road,Jul-Sep 2023,"5,421 - 8,700","7,061",1.63%,,,
Prernatirth Derasar Road,Apr-Jun 2023,"5,350 - 8,610","6,948",1.92%,,,
Prernatirth Derasar Road,Jan-Mar 2023,"5,230 - 8,512","6,816",2.15%,,,
Prernatirth Derasar Road,Oct-Dec 2022,"5,102 - 8,425","6,674",1.78%,,,
Prernatirth Derasar Road,Jul-Sep 2022,"5,012 - 8,328","6,557",2.03%,,,
Prernatirth Derasar Road,Apr-Jun 2022,"4,920 - 8,231","6,425",1.69%,,,
Prernatirth Derasar Road,Jan-Mar 2022,"4,810 - 8,130","6,318",2.32%,,,
Prernatirth Derasar Road,Oct-Dec 2021,"4,690 - 7,989","6,179",1.85%,,,
Prernatirth Derasar Road,Jul-Sep 2021,"4,562 - 7,850","6,065",2.01%,,,
Prernatirth Derasar Road,Apr-Jun 2021,"4,450 - 7,729","5,944",1.76%,,,
Prernatirth Derasar Road,Jan-Mar 2021,"4,312 - 7,598","5,825",2.12%,,,
Prernatirth Derasar Road,Oct-Dec 2020,"4,210 - 7,455","5,678",1.93%,,,
Prernatirth Derasar Road,Jul-Sep 2020,"4,085 - 7,312","5,564",2.28%,,,
Prernatirth Derasar Road,Apr-Jun 2020,"3,980 - 7,190","5,435",1.89%,,,
Prernatirth Derasar Road,Jan-Mar 2020,"3,862 - 7,045","5,334",2.45%,,,
Prernatirth Derasar Road,Oct-Dec 2019,"3,725 - 6,890","5,207",2.08%,,,
Prernatirth Derasar Road,Jul-Sep 2019,"3,612 - 6,750","5,105",2.21%,,,
Prernatirth Derasar Road,Apr-Jun 2019,"3,512 - 6,600","4,994",1.97%,,,
Prernatirth Derasar Road,Jan-Mar 2019,"3,400 - 6,450","4,890",2.38%,,,
Prernatirth Derasar Road,Oct-Dec 2018,"3,250 - 6,200","4,725",2.04%,,,
Prernatirth Derasar Road,Jul-Sep 2018,"3,150 - 6,010","4,580",2.56%,,,
Prernatirth Derasar Road,Apr-Jun 2018,"3,060 - 5,890","4,475",1.84%,,,
Prernatirth Derasar Road,Jan-Mar 2018,"2,980 - 5,750","4,365",2.63%,,,
Prernatirth Derasar Road,Oct-Dec 2017,"2,850 - 5,610","4,250",2.12%,,,
Prernatirth Derasar Road,Jul-Sep 2017,"2,720 - 5,450","4,085",2.35%,,,
Prernatirth Derasar Road,Apr-Jun 2017,"2,620 - 5,300","3,990",1.98%,,,
Prernatirth Derasar Road,Jan-Mar 2017,"2,500 - 5,150","3,825",2.47%,,,
Prernatirth Derasar Road,Oct-Dec 2016,"2,410 - 5,000","3,705",2.11%,,,
Prernatirth Derasar Road,Jul-Sep 2016,"2,300 - 4,850","3,575",2.42%,,,
Prernatirth Derasar Road,Apr-Jun 2016,"2,200 - 4,700","3,450",2.18%,,,
Prernatirth Derasar Road,Jan-Mar 2016,"2,080 - 4,550","3,315",2.60%,,,
Prernatirth Derasar Road,Oct-Dec 2015,"1,950 - 4,300","3,125",2.08%,,,
Prernatirth Derasar Road,Jul-Sep 2015,"1,850 - 4,100","2,975",2.55%,,,
Prernatirth Derasar Road,Apr-Jun 2015,"1,750 - 3,950","2,850",2.15%,,,
Prernatirth Derasar Road,Jan-Mar 2015,"1,600 - 3,800","2,700",2.70%,,,
Prernatirth Derasar Road,Oct-Dec 2014,"1,500 - 3,600","2,550",-,,,
,,,,,,,
Rajpath Rangoli Road,Oct-Dec 2024,"7,288 - 10,193","8,741",0.40%,,,
Rajpath Rangoli Road,Jul-Sep 2024,"7,190 - 10,227","8,709",2%,,,
Rajpath Rangoli Road,Apr-Jun 2024,"6,950 - 10,085","8,518",4%,,,
Rajpath Rangoli Road,Jan-Mar 2024,"6,789 - 9,653","8,221",1%,,,
Rajpath Rangoli Road,Oct-Dec 2023,"6,673 - 9,686","8,179",1.89%,,,
Rajpath Rangoli Road,Jul-Sep 2023,"6,540 - 9,520","8,027",1.95%,,,
Rajpath Rangoli Road,Apr-Jun 2023,"6,400 - 9,350","7,872",2.13%,,,
Rajpath Rangoli Road,Jan-Mar 2023,"6,260 - 9,180","7,710",2.42%,,,
Rajpath Rangoli Road,Oct-Dec 2022,"6,110 - 9,010","7,530",2.29%,,,
Rajpath Rangoli Road,Jul-Sep 2022,"5,970 - 8,845","7,363",2.46%,,,
Rajpath Rangoli Road,Apr-Jun 2022,"5,830 - 8,670","7,188",2.10%,,,
Rajpath Rangoli Road,Jan-Mar 2022,"5,690 - 8,500","7,045",2.54%,,,
Rajpath Rangoli Road,Oct-Dec 2021,"5,550 - 8,310","6,875",2.37%,,,
Rajpath Rangoli Road,Jul-Sep 2021,"5,420 - 8,150","6,720",2.58%,,,
Rajpath Rangoli Road,Apr-Jun 2021,"5,290 - 7,970","6,550",2.15%,,,
Rajpath Rangoli Road,Jan-Mar 2021,"5,160 - 7,800","6,415",2.70%,,,
Rajpath Rangoli Road,Oct-Dec 2020,"5,020 - 7,620","6,245",2.42%,,,
Rajpath Rangoli Road,Jul-Sep 2020,"4,890 - 7,460","6,100",2.65%,,,
Rajpath Rangoli Road,Apr-Jun 2020,"4,760 - 7,280","5,940",2.30%,,,
Rajpath Rangoli Road,Jan-Mar 2020,"4,630 - 7,100","5,810",2.71%,,,
Rajpath Rangoli Road,Oct-Dec 2019,"4,490 - 6,900","5,655",2.48%,,,
Rajpath Rangoli Road,Jul-Sep 2019,"4,350 - 6,720","5,520",2.63%,,,
Rajpath Rangoli Road,Apr-Jun 2019,"4,230 - 6,540","5,380",2.19%,,,
Rajpath Rangoli Road,Jan-Mar 2019,"4,100 - 6,360","5,265",2.72%,,,
Rajpath Rangoli Road,Oct-Dec 2018,"3,950 - 6,180","5,125",2.35%,,,
Rajpath Rangoli Road,Jul-Sep 2018,"3,820 - 5,990","4,990",2.80%,,,
Rajpath Rangoli Road,Apr-Jun 2018,"3,700 - 5,820","4,860",2.21%,,,
Rajpath Rangoli Road,Jan-Mar 2018,"3,560 - 5,650","4,755",2.89%,,,
Rajpath Rangoli Road,Oct-Dec 2017,"3,420 - 5,460","4,620",2.50%,,,
Rajpath Rangoli Road,Jul-Sep 2017,"3,290 - 5,280","4,510",2.76%,,,
Rajpath Rangoli Road,Apr-Jun 2017,"3,160 - 5,100","4,390",2.32%,,,
Rajpath Rangoli Road,Jan-Mar 2017,"3,020 - 4,920","4,290",2.94%,,,
Rajpath Rangoli Road,Oct-Dec 2016,"2,890 - 4,730","4,170",2.54%,,,
Rajpath Rangoli Road,Jul-Sep 2016,"2,760 - 4,550","4,065",2.79%,,,
Rajpath Rangoli Road,Apr-Jun 2016,"2,630 - 4,370","3,955",2.38%,,,
Rajpath Rangoli Road,Jan-Mar 2016,"2,500 - 4,200","3,865",2.91%,,,
Rajpath Rangoli Road,Oct-Dec 2015,"2,360 - 4,000","3,755",2.50%,,,
Rajpath Rangoli Road,Jul-Sep 2015,"2,230 - 3,820","3,660",2.85%,,,
Rajpath Rangoli Road,Apr-Jun 2015,"2,100 - 3,650","3,560",2.40%,,,
Rajpath Rangoli Road,Jan-Mar 2015,"1,980 - 3,470","3,475",2.99%,,,
Rajpath Rangoli Road,Oct-Dec 2014,"1,850 - 3,280","3,370",-,,,
,,,,,,,
Sanand Sarkhej Road,Oct-Dec 2024,"5,700 - 8,495","7,098",-0.03%,,,
Sanand Sarkhej Road,Jul-Sep 2024,"5,497 - 8,703","7,100",3%,,,
Sanand Sarkhej Road,Apr-Jun 2024,"5,253 - 8,560","6,906",4.24%,,,
Sanand Sarkhej Road,Jan-Mar 2024,"5,000 - 8,250","6,625",2.50%,,,
Sanand Sarkhej Road,Oct-Dec 2023,"5,145 - 7,782","6,464",0.20%,,,
Sanand Sarkhej Road,Jul-Sep 2023,"5,066 - 7,841","6,454",-1.35%,,,
Sanand Sarkhej Road,Apr-Jun 2023,"4,980 - 7,780","6,542",3.69%,,,
Sanand Sarkhej Road,Jan-Mar 2023,"4,878 - 7,740","6,309",4%,,,
Sanand Sarkhej Road,Oct-Dec 2022,"4,652 - 7,508","6,080",2%,,,
Sanand Sarkhej Road,Jul-Sep 2022,"4,670 - 7,200","5,935",6%,,,
Sanand Sarkhej Road,Apr-Jun 2022,"4,426 - 6,791","5,608",-2%,,,
Sanand Sarkhej Road,Jan-Mar 2022,"4,424 - 7,017","5,720",7%,,,
Sanand Sarkhej Road,Oct-Dec 2021,"4,358 - 6,358","5,358",-3%,,,
Sanand Sarkhej Road,Jul-Sep 2021,"4,484 - 6,737","5,611",4.72%,,,
Sanand Sarkhej Road,Apr-Jun 2021,"4,429 - 6,784","5,606",0%,,,
Sanand Sarkhej Road,Jan-Mar 2021,"4,392 - 6,965","5,679",8%,,,
Sanand Sarkhej Road,Oct-Dec 2020,"4,203 - 6,351","5,277",-4.01%,,,
Sanand Sarkhej Road,Jul-Sep 2020,"4,100 - 6,200","5,150",-2.41%,,,
Sanand Sarkhej Road,Apr-Jun 2020,"3,980 - 6,030","5,005",-2.82%,,,
Sanand Sarkhej Road,Jan-Mar 2020,"3,860 - 5,850","4,855",-3.00%,,,
Sanand Sarkhej Road,Oct-Dec 2019,"3,750 - 5,700","4,725",1.02%,,,
Sanand Sarkhej Road,Jul-Sep 2019,"3,630 - 5,550","4,590",2.00%,,,
Sanand Sarkhej Road,Apr-Jun 2019,"3,510 - 5,400","4,455",2.94%,,,
Sanand Sarkhej Road,Jan-Mar 2019,"3,380 - 5,230","4,305",2.22%,,,
Sanand Sarkhej Road,Oct-Dec 2018,"3,270 - 5,090","4,180",2.94%,,,
Sanand Sarkhej Road,Jul-Sep 2018,"3,160 - 4,950","4,055",3.03%,,,
Sanand Sarkhej Road,Apr-Jun 2018,"3,050 - 4,800","3,925",3.21%,,,
Sanand Sarkhej Road,Jan-Mar 2018,"2,940 - 4,650","3,795",3.31%,,,
Sanand Sarkhej Road,Oct-Dec 2017,"2,840 - 4,520","3,680",2.80%,,,
Sanand Sarkhej Road,Jul-Sep 2017,"2,750 - 4,400","3,575",3.30%,,,
Sanand Sarkhej Road,Apr-Jun 2017,"2,640 - 4,260","3,450",3.62%,,,
Sanand Sarkhej Road,Jan-Mar 2017,"2,540 - 4,140","3,340",3.14%,,,
Sanand Sarkhej Road,Oct-Dec 2016,"2,450 - 4,020","3,235",3.12%,,,
Sanand Sarkhej Road,Jul-Sep 2016,"2,360 - 3,900","3,130",3.21%,,,
Sanand Sarkhej Road,Apr-Jun 2016,"2,280 - 3,790","3,035",3.04%,,,
Sanand Sarkhej Road,Jan-Mar 2016,"2,200 - 3,670","2,935",3.29%,,,
Sanand Sarkhej Road,Oct-Dec 2015,"2,120 - 3,560","2,840",3.24%,,,
Sanand Sarkhej Road,Jul-Sep 2015,"2,040 - 3,450","2,745",3.35%,,,
Sanand Sarkhej Road,Apr-Jun 2015,"1,950 - 3,320","2,635",4.01%,,,
Sanand Sarkhej Road,Jan-Mar 2015,"1,860 - 3,200","2,530",3.98%,,,
Sanand Sarkhej Road,Oct-Dec 2014,"1,770 - 3,080","2,425",4.15%,,,
,,,,,,,
Sardar Patel Ring Road,Oct-Dec 2024,"5,988 - 9,023","7,505",1%,,,
Sardar Patel Ring Road,Jul-Sep 2024,"5,906 - 9,025","7,465",0.07%,,,
Sardar Patel Ring Road,Apr-Jun 2024,"5,815 - 9,105","7,460",2%,,,
