Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
Ambli Road,Apr-Jun 2021,"5,600 - 8,480","7,040",1%,,,
Ambli Road,Jan-Mar 2021,"5,530 - 8,400","6,965",1%,,,
Ambli Road,Oct-Dec 2020,"5,450 - 8,250","6,850",0.50%,,,
Ambli Road,Jul-Sep 2020,"5,370 - 8,120","6,745",-1%,,,
Ambli Road,Apr-Jun 2020,"5,290 - 8,000","6,645",-2%,,,
Ambli Road,Jan-Mar 2020,"5,250 - 7,950","6,600",-0.50%,,,
Ambli Road,Oct-Dec 2019,"5,180 - 7,890","6,535",-1%,,,
Ambli Road,Jul-Sep 2019,"5,100 - 7,820","6,460",1%,,,
Ambli Road,Apr-Jun 2019,"5,020 - 7,750","6,385",1%,,,
Ambli Road,Jan-Mar 2019,"4,950 - 7,680","6,315",1%,,,
Ambli Road,Oct-Dec 2018,"4,870 - 7,600","6,235",2%,,,
Ambli Road,Jul-Sep 2018,"4,780 - 7,520","6,150",3%,,,
Ambli Road,Apr-Jun 2018,"4,700 - 7,450","6,075",2%,,,
Ambli Road,Jan-Mar 2018,"4,620 - 7,380","6,000",2%,,,
Ambli Road,Oct-Dec 2017,"4,540 - 7,300","5,920",1%,,,
Ambli Road,Jul-Sep 2017,"4,460 - 7,220","5,840",2%,,,
Ambli Road,Apr-Jun 2017,"4,380 - 7,140","5,760",1%,,,
Ambli Road,Jan-Mar 2017,"4,300 - 7,050","5,675",1%,,,
Ambli Road,Oct-Dec 2016,"4,220 - 6,980","5,600",2%,,,
Ambli Road,Jul-Sep 2016,"4,150 - 6,900","5,525",3%,,,
Ambli Road,Apr-Jun 2016,"4,080 - 6,820","5,450",2%,,,
Ambli Road,Jan-Mar 2016,"4,000 - 6,750","5,375",2%,,,
Ambli Road,Oct-Dec 2015,"3,920 - 6,670","5,295",2%,,,
Ambli Road,Jul-Sep 2015,"3,850 - 6,590","5,220",3%,,,
Ambli Road,Apr-Jun 2015,"3,780 - 6,500","5,140",2%,,,
Ambli Road,Jan-Mar 2015,"3,700 - 6,420","5,060",1%,,,
Ambli Road,Oct-Dec 2014,"3,630 - 6,350","4,990",1%,,,
,,,,,,,
Anand Nagar Prahlad Nagar,Oct-Dec 2024,"5,614 - 8,939","7,276",1%,,,
Anand Nagar Prahlad Nagar,Jul-Sep 2024,"5,756 - 8,882","7,319",0.40%,,,
