,Unnamed: 0,location,year,quarter,avg_price,max_price,min_price,location.1,latitude,longitude,Locality,Risk
163,163,Amanora Park Town,2029,Oct-Dec,9420.489571,11411.3947,7429.624791,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
164,164,Amanora Park Town,2030,Jan-Mar,9876.01,11963.18379,7788.878505,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
165,165,Amanora Park Town,2030,Apr-Jun,9951.335,12054.42781,7848.284811,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
166,166,Amanora Park Town,2030,Jul-Sep,9818.206714,11893.16449,7743.290988,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
167,167,Amanora Park Town,2030,Oct-Dec,10098.32857,12232.48667,7964.213721,Amanora Park Town,18.5189462,73.93869894,Amanora Park Town,Moderate
168,168,Ambegaon,2024,Jan-Mar,5739.37,6853.314428,4313.39322,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
169,169,Ambegaon,2024,Apr-Jun,5770.82,6890.868504,4337.029302,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
170,170,Ambegaon,2024,Jul-Sep,5759.47,6877.315602,4328.499269,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
171,171,Ambegaon,2024,Oct-Dec,5881.6475,7023.206322,4420.321124,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
172,172,Ambegaon,2025,Jan-Mar,6181.81,7381.626844,4645.906666,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
173,173,Ambegaon,2025,Apr-Jun,6256,7470.216254,4701.663769,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
174,174,Ambegaon,2025,Jul-Sep,5224.72,6238.776897,3926.61073,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
175,175,Ambegaon,2025,Oct-Dec,5135.6875,6132.464232,3859.698825,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
176,176,Ambegaon,2026,Jan-Mar,4773.37,5699.825153,3587.401021,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
177,177,Ambegaon,2026,Apr-Jun,4817.51,5752.53221,3620.574204,Ambegaon,18.48076899,73.65221503,Ambegaon,Low
