location,year,quarter,avg_price,max_price,min_price
132 Feet Ring Road,2025,Oct-Dec,6616.0466666666725,8313.024412662988,4919.0689206703555
132 Feet Ring Road,2026,Jan-Mar,5071.099999999999,6371.807851877592,3770.3921481224056
132 Feet Ring Road,2026,Apr-Jun,5089.750000000002,6395.241469127801,3784.258530872202
132 Feet Ring Road,2026,Jul-Sep,5163.15,6487.468145061583,3838.8318549384157
132 Feet Ring Road,2026,Oct-Dec,5219.999999999996,6558.899841612473,3881.1001583875186
132 Feet Ring Road,2027,Jan-Mar,5243.650000000001,6588.615929975339,3898.6840700246607
132 Feet Ring Road,2027,Apr-Jun,5203.250000000005,6537.853563385087,3868.646436614921
132 Feet Ring Road,2027,Jul-Sep,5147.050000000003,6467.238588078835,3826.8614119211693
132 Feet Ring Road,2027,Oct-Dec,5115.749999999994,6427.910318913599,3803.5896810863865
132 Feet Ring Road,2028,Jan-Mar,5164.610000000003,6489.302626626482,3839.917373373523
132 Feet Ring Road,2028,Apr-Jun,5143.100000000004,6462.275435899839,3823.924564100168
132 Feet Ring Road,2028,Jul-Sep,5195.605000000002,6528.247665053834,3862.96233494617
132 Feet Ring Road,2028,Oct-Dec,5395.190000000004,6779.025064457711,4011.3549355422965
132 Feet Ring Road,2029,Jan-Mar,5712.319999999997,7177.497077248998,4247.142922750995
132 Feet Ring Road,2029,Apr-Jun,5646.580000000002,7094.895147059808,4198.264852940195
132 Feet Ring Road,2029,Jul-Sep,5929.620000000009,7450.533271805027,4408.70672819499
132 Feet Ring Road,2029,Oct-Dec,6155.049999999995,7733.7847643902005,4576.315235609788
132 Feet Ring Road,2030,Jan-Mar,6428.629999999998,8077.536453790271,4779.723546209725
132 Feet Ring Road,2030,Apr-Jun,6500.740000000009,8168.142252177003,4833.337747823013
132 Feet Ring Road,2030,Jul-Sep,6569.036333333333,8253.956200430384,4884.11646623628
132 Feet Ring Road,2030,Oct-Dec,6622.74000000001,8321.434547325802,4924.045452674217
Aarohi Club Road,2024,Jan-Mar,4465.040000000004,5382.896574740106,3547.7364936960876
Aarohi Club Road,2024,Apr-Jun,4568.149999999999,5507.202396372482,3629.663443928333
Aarohi Club Road,2024,Jul-Sep,4541.449999999999,5475.013807122316,3608.448725945586
Aarohi Club Road,2024,Oct-Dec,4659.863333333332,5617.768793954137,3702.535073213889
Aarohi Club Road,2025,Jan-Mar,4735.021000000006,5708.376256925466,3762.252253085605
Aarohi Club Road,2025,Apr-Jun,4754.296000000009,5731.613525007752,3777.567372528209
Aarohi Club Road,2025,Jul-Sep,4333.2468333333345,5224.011327256508,3443.0190831010846
Aarohi Club Road,2025,Oct-Dec,4462.347666666662,5379.650791526942,3545.5972767529265
Aarohi Club Road,2026,Jan-Mar,4168.220000000002,5025.060729750057,3311.895572660917
Aarohi Club Road,2026,Apr-Jun,4181.4199999999955,5040.974189604064,3322.3837478433934
Aarohi Club Road,2026,Jul-Sep,4157.420000000002,5012.040626233136,3303.3143384207046
Aarohi Club Road,2026,Oct-Dec,4291.956666666666,5174.233341679568,3410.2116208803354
Aarohi Club Road,2027,Jan-Mar,4252.149999999999,5126.243811988496,3378.5828865295275
Aarohi Club Road,2027,Apr-Jun,4207.260000000004,5072.125992833448,3342.915145321834
Aarohi Club Road,2027,Jul-Sep,4182.250000000007,5041.974808670657,3323.043231585938
Aarohi Club Road,2027,Oct-Dec,4293.673333333333,5176.302895170685,3411.5756133598757
Aarohi Club Road,2028,Jan-Mar,4097.2499999999945,4939.501771731911,3255.505739880553
Aarohi Club Road,2028,Apr-Jun,4111.480000000005,4956.656963680607,3266.8123105507666
Aarohi Club Road,2028,Jul-Sep,4152.040000000004,5005.554685777487,3299.0396124751187
Aarohi Club Road,2028,Oct-Dec,4273.319999999996,5151.765626011939,3395.4036947577933
Aarohi Club Road,2029,Jan-Mar,4224.8099999999995,5093.28366104844,3356.8596509621757
Aarohi Club Road,2029,Apr-Jun,4332.019999999993,5222.532299756683,3442.044291970797
Aarohi Club Road,2029,Jul-Sep,4468.757499999998,5387.378263149742,3550.6902657597857
Aarohi Club Road,2029,Oct-Dec,4518.279999999995,5447.080862817955,3590.038800265424
Aarohi Club Road,2030,Jan-Mar,4465.040000000004,5382.896574740106,3547.7364936960876
Aarohi Club Road,2030,Apr-Jun,4568.149999999999,5507.202396372482,3629.663443928333
Aarohi Club Road,2030,Jul-Sep,4541.449999999999,5475.013807122316,3608.448725945586
Aarohi Club Road,2030,Oct-Dec,4659.863333333332,5617.768793954137,3702.535073213889
Airport Road,2024,Jan-Mar,3968.5700000000006,5282.7348915179555,2654.3657197729126
Airport Road,2024,Apr-Jun,4035.569999999998,5371.921484606067,2699.1784616987898
Airport Road,2024,Jul-Sep,4313.4133333333275,5741.770742997788,2885.013112333005
Airport Road,2024,Oct-Dec,4271.856166666666,5686.452203991899,2857.217730467276
Airport Road,2025,Jan-Mar,5132.910000000002,6832.638142207756,3433.130912817358
Airport Road,2025,Apr-Jun,5191.940000000006,6911.215524147932,3472.6129449947434
Airport Road,2025,Jul-Sep,4013.603000000002,5342.680262361794,2684.485901969154
Airport Road,2025,Oct-Dec,4085.213166666671,5438.003647368844,2732.382139552775
Airport Road,2026,Jan-Mar,3744.9400000000055,4985.051342080718,2504.791488774643
Airport Road,2026,Apr-Jun,3856.0500000000006,5132.954660857138,2579.1070672132128
Airport Road,2026,Jul-Sep,3855.726666666663,5132.524257895463,2578.8908067173484
Airport Road,2026,Oct-Dec,3891.480000000001,5180.117063739406,2602.8043126823754
Airport Road,2027,Jan-Mar,3600.600000000004,4792.914135418946,2408.2501280346214
Airport Road,2027,Apr-Jun,3643.0500000000025,4849.421163427758,2436.642678702584
