location,quarter,year,avg_price
Andheri Kurla Road,Jan-Mar,2025,20613
Andheri Kurla Road,Apr-Jun,2025,20828.71
Andheri Kurla Road,Jul-Sep,2025,18072.05567
Andheri Kurla Road,Oct-Dec,2025,18691.074
Andheri Kurla Road,Jan-Mar,2026,15227.7825
Andheri Kurla Road,Apr-Jun,2026,15157.7825
Andheri Kurla Road,Jul-Sep,2026,15194.71333
Andheri Kurla Road,Oct-Dec,2026,15670.0325
Andheri Kurla Road,Jan-Mar,2027,16230
Andheri Kurla Road,Apr-Jun,2027,16385
Andheri Kurla Road,Jul-Sep,2027,16804.33667
Andheri Kurla Road,Oct-Dec,2027,17185
Andheri Kurla Road,Jan-Mar,2028,18225.3
Andheri Kurla Road,Apr-Jun,2028,18492.38
Andheri Kurla Road,Jul-Sep,2028,18646.20333
Andheri Kurla Road,Oct-Dec,2028,19250.90333
Andheri Kurla Road,Jan-Mar,2029,20466.22
Andheri Kurla Road,Apr-Jun,2029,20611.86
Andheri Kurla Road,Jul-Sep,2029,21170.18
Andheri Kurla Road,Oct-Dec,2029,21478.57
Andheri Kurla Road,Jan-Mar,2030,22326.76
Andheri Kurla Road,Apr-Jun,2030,23124.38
Andheri Kurla Road,Jul-Sep,2030,23647.65
Andheri Kurla Road,Oct-Dec,2030,24054.13
Andheri West,Jan-Mar,2024,25219.6
Andheri West,Apr-Jun,2024,25319.48
Andheri West,Jul-Sep,2024,25860.06
Andheri West,Oct-Dec,2024,25649.42
Andheri West,Jan-Mar,2025,25689.42
Andheri West,Apr-Jun,2025,25627.97
Andheri West,Jul-Sep,2025,25935.17
Andheri West,Oct-Dec,2025,24231.91
Andheri West,Jan-Mar,2026,23373.75
Andheri West,Apr-Jun,2026,23223.8
Andheri West,Jul-Sep,2026,23256.15
Andheri West,Oct-Dec,2026,23201.53
Andheri West,Jan-Mar,2027,22915.83
Andheri West,Apr-Jun,2027,22589.26
Andheri West,Jul-Sep,2027,22782.92
Andheri West,Oct-Dec,2027,23043.3
Andheri West,Jan-Mar,2028,23659.12
Andheri West,Apr-Jun,2028,23641.75
Andheri West,Jul-Sep,2028,23976.01
Andheri West,Oct-Dec,2028,24061.59
Andheri West,Jan-Mar,2029,24309.13
Andheri West,Apr-Jun,2029,24267.21
Andheri West,Jul-Sep,2029,24447.51
Andheri West,Oct-Dec,2029,24752.3
Andheri West,Jan-Mar,2030,25219.6
Andheri West,Apr-Jun,2030,25319.48
Andheri West,Jul-Sep,2030,25860.06
Andheri West,Oct-Dec,2030,25649.42
Antop Hill Road,Jan-Mar,2024,13139.2275
Antop Hill Road,Apr-Jun,2024,13341.7375
Antop Hill Road,Jul-Sep,2024,13492.22183
Antop Hill Road,Oct-Dec,2024,9754.205333
Antop Hill Road,Jan-Mar,2025,14406.77167
Antop Hill Road,Apr-Jun,2025,14103.70167
Antop Hill Road,Jul-Sep,2025,15423.3675
Antop Hill Road,Oct-Dec,2025,8138.327
Antop Hill Road,Jan-Mar,2026,6030.585
Antop Hill Road,Apr-Jun,2026,5925.585
Antop Hill Road,Jul-Sep,2026,6170.141667
Antop Hill Road,Oct-Dec,2026,6377.5
Antop Hill Road,Jan-Mar,2027,7322.5
Antop Hill Road,Apr-Jun,2027,7517.5
Antop Hill Road,Jul-Sep,2027,7767.056667
Antop Hill Road,Oct-Dec,2027,8417.5
Antop Hill Road,Jan-Mar,2028,9590
Antop Hill Road,Apr-Jun,2028,9591.17
Antop Hill Road,Jul-Sep,2028,10433.94417
Antop Hill Road,Oct-Dec,2028,10015
Antop Hill Road,Jan-Mar,2029,11410
Antop Hill Road,Apr-Jun,2029,11706.17
Antop Hill Road,Jul-Sep,2029,12275.7175
Antop Hill Road,Oct-Dec,2029,11941.44
Antop Hill Road,Jan-Mar,2030,13139.2275
Antop Hill Road,Apr-Jun,2030,13341.7375
Antop Hill Road,Jul-Sep,2030,13492.22183
Antop Hill Road,Oct-Dec,2030,9754.205333
Azad Nagar Andheri West,Jan-Mar,2024,21637.6
Azad Nagar Andheri West,Apr-Jun,2024,22275.08
Azad Nagar Andheri West,Jul-Sep,2024,22341.625
Azad Nagar Andheri West,Oct-Dec,2024,21320.275
Azad Nagar Andheri West,Jan-Mar,2025,21250.6635
Azad Nagar Andheri West,Apr-Jun,2025,21230.8635
Azad Nagar Andheri West,Jul-Sep,2025,20251.6615
Azad Nagar Andheri West,Oct-Dec,2025,15274.189
Azad Nagar Andheri West,Jan-Mar,2026,13505.42
Azad Nagar Andheri West,Apr-Jun,2026,13425
Azad Nagar Andheri West,Jul-Sep,2026,13764.2
Azad Nagar Andheri West,Oct-Dec,2026,14062.5
Azad Nagar Andheri West,Jan-Mar,2027,14905.42
Azad Nagar Andheri West,Apr-Jun,2027,15040
Azad Nagar Andheri West,Jul-Sep,2027,15525
Azad Nagar Andheri West,Oct-Dec,2027,15792.5
Azad Nagar Andheri West,Jan-Mar,2028,17570.02
Azad Nagar Andheri West,Apr-Jun,2028,17839.78
Azad Nagar Andheri West,Jul-Sep,2028,18553.089
Azad Nagar Andheri West,Oct-Dec,2028,17996.16
Azad Nagar Andheri West,Jan-Mar,2029,19914.7
Azad Nagar Andheri West,Apr-Jun,2029,20306.6
Azad Nagar Andheri West,Jul-Sep,2029,21013.72
Azad Nagar Andheri West,Oct-Dec,2029,21035
Azad Nagar Andheri West,Jan-Mar,2030,21637.6
Azad Nagar Andheri West,Apr-Jun,2030,22275.08
Azad Nagar Andheri West,Jul-Sep,2030,22341.625
Azad Nagar Andheri West,Oct-Dec,2030,21320.275
Babrekar Nagar Kandivali West,Jan-Mar,2024,13832.6
Babrekar Nagar Kandivali West,Apr-Jun,2024,13703.39
Babrekar Nagar Kandivali West,Jul-Sep,2024,13375.20467
Babrekar Nagar Kandivali West,Oct-Dec,2024,13567.32467
Babrekar Nagar Kandivali West,Jan-Mar,2025,13309.35083
Babrekar Nagar Kandivali West,Apr-Jun,2025,12828.5325
Babrekar Nagar Kandivali West,Jul-Sep,2025,11800.83883
Babrekar Nagar Kandivali West,Oct-Dec,2025,11670.653
Babrekar Nagar Kandivali West,Jan-Mar,2026,7445
Babrekar Nagar Kandivali West,Apr-Jun,2026,7765
Babrekar Nagar Kandivali West,Jul-Sep,2026,8245
Babrekar Nagar Kandivali West,Oct-Dec,2026,8785
Babrekar Nagar Kandivali West,Jan-Mar,2027,9685
Babrekar Nagar Kandivali West,Apr-Jun,2027,10065
Babrekar Nagar Kandivali West,Jul-Sep,2027,10575
Babrekar Nagar Kandivali West,Oct-Dec,2027,10900
Babrekar Nagar Kandivali West,Jan-Mar,2028,12135.56
Babrekar Nagar Kandivali West,Apr-Jun,2028,12267.66
