location,quarter,year,predicted_price,Locality,Risk
Andheri Kurla Road,Apr-Jun,2028,18492.38,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2028,18646.20333,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2028,19250.90333,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2029,20466.22,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2029,20611.86,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2029,21170.18,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2029,21478.57,Andheri Kurla Road,Low
Andheri Kurla Road,Jan-Mar,2030,22326.76,Andheri Kurla Road,Low
Andheri Kurla Road,Apr-Jun,2030,23124.38,Andheri Kurla Road,Low
Andheri Kurla Road,Jul-Sep,2030,23647.65,Andheri Kurla Road,Low
Andheri Kurla Road,Oct-Dec,2030,24054.13,Andheri Kurla Road,Low
Andheri West,Jan-Mar,2024,25219.6,Andheri West,Low
Andheri West,Apr-Jun,2024,25319.48,Andheri West,Low
Andheri West,Jul-Sep,2024,25860.06,Andheri West,Low
Andheri West,Oct-Dec,2024,25649.42,Andheri West,Low
Andheri West,Jan-Mar,2025,25689.42,Andheri West,Low
Andheri West,Apr-Jun,2025,25627.97,Andheri West,Low
Andheri West,Jul-Sep,2025,25935.17,Andheri West,Low
Andheri West,Oct-Dec,2025,24231.91,Andheri West,Low
Andheri West,Jan-Mar,2026,23373.75,Andheri West,Low
Andheri West,Apr-Jun,2026,23223.8,Andheri West,Low
Andheri West,Jul-Sep,2026,23256.15,Andheri West,Low
Andheri West,Oct-Dec,2026,23201.53,Andheri West,Low
Andheri West,Jan-Mar,2027,22915.83,Andheri West,Low
Andheri West,Apr-Jun,2027,22589.26,Andheri West,Low
Andheri West,Jul-Sep,2027,22782.92,Andheri West,Low
Andheri West,Oct-Dec,2027,23043.3,Andheri West,Low
Andheri West,Jan-Mar,2028,23659.12,Andheri West,Low
Andheri West,Apr-Jun,2028,23641.75,Andheri West,Low
Andheri West,Jul-Sep,2028,23976.01,Andheri West,Low
Andheri West,Oct-Dec,2028,24061.59,Andheri West,Low
Andheri West,Jan-Mar,2029,24309.13,Andheri West,Low
Andheri West,Apr-Jun,2029,24267.21,Andheri West,Low
Andheri West,Jul-Sep,2029,24447.51,Andheri West,Low
Andheri West,Oct-Dec,2029,24752.3,Andheri West,Low
Andheri West,Jan-Mar,2030,25219.6,Andheri West,Low
Andheri West,Apr-Jun,2030,25319.48,Andheri West,Low
Andheri West,Jul-Sep,2030,25860.06,Andheri West,Low
Andheri West,Oct-Dec,2030,25649.42,Andheri West,Low
