,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
2968,Amrutahalli,Apr-Jun,2029,4662.214344,7505.264253,6083.72,13.0662319,77.6007646,Moderate
2996,Amrutahalli,Jul-Sep,2029,4728.694572,7612.284575,6170.47,13.0662319,77.6007646,Moderate
3024,Amrutahalli,Oct-Dec,2029,4682.062619,7537.216142,6109.62,13.0662319,77.6007646,Moderate
3052,Amrutahalli,Jan-Mar,2030,5620.449242,9047.837287,7334.12,13.0662319,77.6007646,Moderate
3080,Amrutahalli,Apr-Jun,2030,5481.281409,8823.803968,7152.52,13.0662319,77.6007646,Moderate
3108,Amrutahalli,Jul-Sep,2030,5706.800736,9186.846508,7446.8,13.0662319,77.6007646,Moderate
3136,Amrutahalli,Oct-Dec,2030,5643.178966,9084.427751,7363.78,13.0662319,77.6007646,Moderate
3164,Amruthahalli Main Road,Jan-Mar,2024,5708.100523,9149.639477,7428.87,13.06453992,77.60585116,Moderate
3192,Amruthahalli Main Road,Apr-Jun,2024,5624.70194,9015.95806,7320.33,13.06453992,77.60585116,Moderate
3220,Amruthahalli Main Road,Jul-Sep,2024,5840.298111,9361.541889,7600.92,13.06453992,77.60585116,Moderate
3248,Amruthahalli Main Road,Oct-Dec,2024,5352.684561,8579.935439,6966.31,13.06453992,77.60585116,Moderate
3276,Amruthahalli Main Road,Jan-Mar,2025,6194.215756,9928.844244,8061.53,13.06453992,77.60585116,Moderate
3304,Amruthahalli Main Road,Apr-Jun,2025,6104.478144,9785.001856,7944.74,13.06453992,77.60585116,Moderate
3332,Amruthahalli Main Road,Jul-Sep,2025,5992.743457,9605.899877,7799.321667,13.06453992,77.60585116,Moderate
3360,Amruthahalli Main Road,Oct-Dec,2025,4520.435241,7245.904759,5883.17,13.06453992,77.60585116,Moderate
3388,Amruthahalli Main Road,Jan-Mar,2026,4303.002673,6897.377327,5600.19,13.06453992,77.60585116,Moderate
3416,Amruthahalli Main Road,Apr-Jun,2026,4241.087639,6798.132361,5519.61,13.06453992,77.60585116,Moderate
3444,Amruthahalli Main Road,Jul-Sep,2026,4318.523692,6922.256308,5620.39,13.06453992,77.60585116,Moderate
3472,Amruthahalli Main Road,Oct-Dec,2026,4270.139605,6844.700395,5557.42,13.06453992,77.60585116,Moderate
3500,Amruthahalli Main Road,Jan-Mar,2027,4646.631881,7448.188119,6047.41,13.06453992,77.60585116,Moderate
3528,Amruthahalli Main Road,Apr-Jun,2027,4655.137707,7461.822293,6058.48,13.06453992,77.60585116,Moderate
3556,Amruthahalli Main Road,Jul-Sep,2027,4568.535032,7323.004968,5945.77,13.06453992,77.60585116,Moderate
3584,Amruthahalli Main Road,Oct-Dec,2027,4488.471163,7194.668837,5841.57,13.06453992,77.60585116,Moderate
3612,Amruthahalli Main Road,Jan-Mar,2028,4449.44579,7132.11421,5790.78,13.06453992,77.60585116,Moderate
3640,Amruthahalli Main Road,Apr-Jun,2028,4564.654778,7316.785222,5940.72,13.06453992,77.60585116,Moderate
3668,Amruthahalli Main Road,Jul-Sep,2028,4407.900172,7065.519828,5736.71,13.06453992,77.60585116,Moderate
3696,Amruthahalli Main Road,Oct-Dec,2028,4462.738543,7153.421457,5808.08,13.06453992,77.60585116,Moderate
3724,Amruthahalli Main Road,Jan-Mar,2029,4356.773014,6983.566986,5670.17,13.06453992,77.60585116,Moderate
3752,Amruthahalli Main Road,Apr-Jun,2029,4602.373927,7377.246073,5989.81,13.06453992,77.60585116,Moderate
3780,Amruthahalli Main Road,Jul-Sep,2029,4685.226969,7510.053031,6097.64,13.06453992,77.60585116,Moderate
3808,Amruthahalli Main Road,Oct-Dec,2029,4565.223369,7317.696631,5941.46,13.06453992,77.60585116,Moderate
3836,Amruthahalli Main Road,Jan-Mar,2030,5708.100523,9149.639477,7428.87,13.06453992,77.60585116,Moderate
3864,Amruthahalli Main Road,Apr-Jun,2030,5624.70194,9015.95806,7320.33,13.06453992,77.60585116,Moderate
3892,Amruthahalli Main Road,Jul-Sep,2030,5840.298111,9361.541889,7600.92,13.06453992,77.60585116,Moderate
3920,Amruthahalli Main Road,Oct-Dec,2030,5352.684561,8579.935439,6966.31,13.06453992,77.60585116,Moderate
3948,Anekal Main Road,Jan-Mar,2024,3189.601985,5387.815829,4288.91,12.79737939,77.70639222,Moderate
3976,Anekal Main Road,Apr-Jun,2024,3155.377559,5330.00457,4242.89,12.79737939,77.70639222,Moderate
4004,Anekal Main Road,Jul-Sep,2024,3474.676631,5869.358571,4672.236667,12.79737939,77.70639222,Moderate
4032,Anekal Main Road,Oct-Dec,2024,3696.11903,6243.414916,4970.0,12.79737939,77.70639222,Moderate
4060,Anekal Main Road,Jan-Mar,2025,3860.414124,6520.939106,5190.92,12.79737939,77.70639222,Moderate
4088,Anekal Main Road,Apr-Jun,2025,4533.256524,7657.491865,6095.66,12.79737939,77.70639222,Moderate
4116,Anekal Main Road,Jul-Sep,2025,3727.056364,6295.673681,5011.6,12.79737939,77.70639222,Moderate
4144,Anekal Main Road,Oct-Dec,2025,3959.197924,6687.802849,5323.75,12.79737939,77.70639222,Moderate
4172,Anekal Main Road,Jan-Mar,2026,3144.817219,5312.166242,4228.69,12.79737939,77.70639222,Moderate
4200,Anekal Main Road,Apr-Jun,2026,3099.556494,5235.712674,4167.83,12.79737939,77.70639222,Moderate
4228,Anekal Main Road,Jul-Sep,2026,3049.194084,5150.641435,4100.11,12.79737939,77.70639222,Moderate
4256,Anekal Main Road,Oct-Dec,2026,3029.650018,5117.627965,4073.83,12.79737939,77.70639222,Moderate
4284,Anekal Main Road,Jan-Mar,2027,3118.788212,5268.198531,4193.69,12.79737939,77.70639222,Moderate
4312,Anekal Main Road,Apr-Jun,2027,3088.364021,5216.806559,4152.78,12.79737939,77.70639222,Moderate
4340,Anekal Main Road,Jul-Sep,2027,3084.853823,5210.877199,4148.06,12.79737939,77.70639222,Moderate
4368,Anekal Main Road,Oct-Dec,2027,3082.764066,5207.34722,4145.25,12.79737939,77.70639222,Moderate
4396,Anekal Main Road,Jan-Mar,2028,3141.723486,5306.940365,4224.53,12.79737939,77.70639222,Moderate
4424,Anekal Main Road,Apr-Jun,2028,3222.48034,5443.353328,4333.12,12.79737939,77.70639222,Moderate
4452,Anekal Main Road,Jul-Sep,2028,3301.712638,5577.19104,4439.66,12.79737939,77.70639222,Moderate
4480,Anekal Main Road,Oct-Dec,2028,3412.053318,5763.576446,4588.03,12.79737939,77.70639222,Moderate
4508,Anekal Main Road,Jan-Mar,2029,3251.55846,5492.471542,4372.22,12.79737939,77.70639222,Moderate
4536,Anekal Main Road,Apr-Jun,2029,3290.066517,5557.51863,4424.0,12.79737939,77.70639222,Moderate
4564,Anekal Main Road,Jul-Sep,2029,3372.489227,5696.745526,4534.83,12.79737939,77.70639222,Moderate
4592,Anekal Main Road,Oct-Dec,2029,3422.635969,5781.452461,4602.26,12.79737939,77.70639222,Moderate
4620,Anekal Main Road,Jan-Mar,2030,3189.601985,5387.815829,4288.91,12.79737939,77.70639222,Moderate
4648,Anekal Main Road,Apr-Jun,2030,3155.377559,5330.00457,4242.89,12.79737939,77.70639222,Moderate
4676,Anekal Main Road,Jul-Sep,2030,3474.676631,5869.358571,4672.236667,12.79737939,77.70639222,Moderate
4704,Anekal Main Road,Oct-Dec,2030,3696.11903,6243.414916,4970.0,12.79737939,77.70639222,Moderate
4732,AnjanaPura,Jan-Mar,2024,3870.313377,5868.907438,4869.54,12.8580811,77.5580713,Moderate
4760,AnjanaPura,Apr-Jun,2024,3826.980848,5803.198391,4815.02,12.8580811,77.5580713,Moderate
4788,AnjanaPura,Jul-Sep,2024,4010.745638,6081.85762,5046.228667,12.8580811,77.5580713,Moderate
4816,AnjanaPura,Oct-Dec,2024,4560.462594,6915.443332,5737.87,12.8580811,77.5580713,Moderate
4844,AnjanaPura,Jan-Mar,2025,4880.504956,7400.752613,6140.54,12.8580811,77.5580713,Moderate
4872,AnjanaPura,Apr-Jun,2025,5161.466973,7826.800819,6494.04,12.8580811,77.5580713,Moderate
4900,AnjanaPura,Jul-Sep,2025,4155.759583,6301.755427,5228.681905,12.8580811,77.5580713,Moderate
4928,AnjanaPura,Oct-Dec,2025,4258.80132,6458.006964,5358.326667,12.8580811,77.5580713,Moderate
4956,AnjanaPura,Jan-Mar,2026,3358.223342,5092.378842,4225.24,12.8580811,77.5580713,Moderate
4984,AnjanaPura,Apr-Jun,2026,3307.006391,5014.71393,4160.8,12.8580811,77.5580713,Moderate
5012,AnjanaPura,Jul-Sep,2026,3252.340005,4931.818327,4092.02,12.8580811,77.5580713,Moderate
5040,AnjanaPura,Oct-Dec,2026,3207.266862,4863.46983,4035.31,12.8580811,77.5580713,Moderate
5068,AnjanaPura,Jan-Mar,2027,3351.761613,5082.580335,4217.11,12.8580811,77.5580713,Moderate
5096,AnjanaPura,Apr-Jun,2027,3319.24632,5033.274446,4176.2,12.8580811,77.5580713,Moderate
5124,AnjanaPura,Jul-Sep,2027,3326.049813,5043.5912,4184.76,12.8580811,77.5580713,Moderate
5152,AnjanaPura,Oct-Dec,2027,3343.368519,5069.853125,4206.55,12.8580811,77.5580713,Moderate
5180,AnjanaPura,Jan-Mar,2028,3409.925122,5170.778943,4290.29,12.8580811,77.5580713,Moderate
5208,AnjanaPura,Apr-Jun,2028,3504.291799,5313.875699,4409.02,12.8580811,77.5580713,Moderate
5236,AnjanaPura,Jul-Sep,2028,3593.571752,5449.258995,4521.35,12.8580811,77.5580713,Moderate
5264,AnjanaPura,Oct-Dec,2028,3698.835145,5608.879431,4653.79,12.8580811,77.5580713,Moderate
5292,AnjanaPura,Jan-Mar,2029,3533.246385,5357.782167,4445.45,12.8580811,77.5580713,Moderate
5320,AnjanaPura,Apr-Jun,2029,3603.133203,5463.757891,4533.38,12.8580811,77.5580713,Moderate
5348,AnjanaPura,Jul-Sep,2029,3698.191357,5607.903197,4652.98,12.8580811,77.5580713,Moderate
5376,AnjanaPura,Oct-Dec,2029,3788.194578,5744.38325,4766.22,12.8580811,77.5580713,Moderate
5404,AnjanaPura,Jan-Mar,2030,3870.313377,5868.907438,4869.54,12.8580811,77.5580713,Moderate
5432,AnjanaPura,Apr-Jun,2030,3826.980848,5803.198391,4815.02,12.8580811,77.5580713,Moderate
