Locality,Risk,location,year,quarter,avg_price,max_price,min_price,Location,Latitude,Longitude
Chattarpur,Moderate,Chattarpur,2027,Jul-Sep,4287.92,5366.320377,3209.482457,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2027,Oct-Dec,4106.45,5139.211159,3073.653248,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2028,Jan-Mar,4279.96,5356.358459,3203.524445,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2028,Apr-Jun,4208.93,5267.464604,3150.358915,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2028,Jul-Sep,4218.3,5279.191134,3157.372304,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2028,Oct-Dec,4360.97,5457.742256,3264.159945,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2029,Jan-Mar,4567.16,5715.788488,3418.491926,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2029,Apr-Jun,4589.71,5744.009753,3435.370466,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2029,Jul-Sep,4787.6,5991.668557,3583.489947,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2029,Oct-Dec,4881.38,6109.033975,3653.683715,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2030,Jan-Mar,4748.3,5942.484712,3554.074132,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2030,Apr-Jun,4635.96,5801.891504,3469.988314,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2030,Jul-Sep,4653.97,5824.43097,3483.468691,Chattarpur,28.503846,77.183032
Chattarpur,Moderate,Chattarpur,2030,Oct-Dec,4777.17,5978.61544,3575.683154,Chattarpur,28.503846,77.183032
Chattarpur Enclave,Low,Chattarpur Enclave,2024,Jan-Mar,4917.89,6088.352513,3757.555775,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2024,Apr-Jun,4939.49,6115.093333,3774.05944,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2024,Jul-Sep,4893.24,6057.835789,3738.721733,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2024,Oct-Dec,5041.41,6241.270391,3851.932284,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2025,Jan-Mar,4918.63,6089.268633,3758.121179,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2025,Apr-Jun,4942.88,6119.290156,3776.649598,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2025,Jul-Sep,4626.44,5727.537135,3534.870919,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2025,Oct-Dec,4867.78,6026.316285,3719.268803,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2026,Jan-Mar,4616.99,5715.838026,3527.650566,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2026,Apr-Jun,4623.95,5724.454512,3532.968413,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2026,Jul-Sep,4619.26,5718.648288,3529.384978,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2026,Oct-Dec,4556.98,5641.545588,3481.799413,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2027,Jan-Mar,4704.64,5824.348809,3594.620295,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2027,Apr-Jun,4713,5834.698497,3601.007824,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2027,Jul-Sep,4695.01,5812.42686,3587.262412,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2027,Oct-Dec,4621.34,5721.22333,3530.97422,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2028,Jan-Mar,4849.19,6003.301847,3705.064955,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2028,Apr-Jun,4868.09,6026.700065,3719.505661,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2028,Jul-Sep,4884.97,6047.597521,3732.402969,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2028,Oct-Dec,4912,6081.060687,3753.055471,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2029,Jan-Mar,4860.8,6017.675038,3713.935674,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2029,Apr-Jun,4936.84,6111.812631,3772.034684,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2029,Jul-Sep,5057.05,6260.632725,3863.88216,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2029,Oct-Dec,5091.56,6303.356138,3890.249819,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2030,Jan-Mar,4917.89,6088.352513,3757.555775,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2030,Apr-Jun,4939.49,6115.093333,3774.05944,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2030,Jul-Sep,4893.24,6057.835789,3738.721733,Chattarpur Enclave,28.50270475,77.18422721
Chattarpur Enclave,Low,Chattarpur Enclave,2030,Oct-Dec,5041.41,6241.270391,3851.932284,Chattarpur Enclave,28.50270475,77.18422721
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2024,Jan-Mar,4852.56,6546.39396,3641.683608,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2024,Apr-Jun,4888.98,6595.526721,3669.015597,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2024,Jul-Sep,4903.76,6615.465826,3680.107491,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2024,Oct-Dec,5025.73,6780.010658,3771.641887,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2025,Jan-Mar,5061.58,6828.374454,3798.546111,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2025,Apr-Jun,5120.81,6908.27927,3842.99624,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2025,Jul-Sep,5095.5,6874.134565,3824.001933,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2025,Oct-Dec,5244.33,7074.915145,3935.693859,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2026,Jan-Mar,4067.14,5486.815358,3052.252227,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2026,Apr-Jun,4076,5498.768028,3058.90136,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2026,Jul-Sep,4083.4,5508.751071,3064.454812,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2026,Oct-Dec,4126.5,5566.895551,3096.799917,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2027,Jan-Mar,4218.64,5691.197928,3165.947898,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2027,Apr-Jun,4233.3,5710.975145,3176.949737,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2027,Jul-Sep,4265.6,5754.549779,3201.189804,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2027,Oct-Dec,4289.46,5786.738348,3219.095934,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2028,Jan-Mar,4402.6,5939.370981,3304.003712,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2028,Apr-Jun,4418.8,5961.225751,3316.161268,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2028,Jul-Sep,4472.5,6033.670266,3356.461318,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2028,Oct-Dec,4511.8,6086.688319,3385.954651,Dashrathpuri Metro Road,28.60243117,77.08255153
Dashrathpuri Metro Road,Moderate,Dashrathpuri Metro Road,2029,Jan-Mar,4639.2,6258.558546,3481.56408,Dashrathpuri Metro Road,28.60243117,77.08255153
